F1,F2,F3,F4,F5,F6,F7,F8,NIR_1,NIR_2,Ripeness,Date,prediction
14.0,14,14,45,131,65,29,63,54,66,0,06/11,
18.0,17,18,69,191,93,39,71,62,58,0,06/11,
21.0,19,21,76,205,98,39,71,68,54,0,06/11,
97.0,91,122,589,1000,1000,1000,604,227,215,0,06/11,
52.0,44,60,240,756,869,672,378,126,129,0,06/11,
93.0,82,111,559,1000,1000,1000,599,215,205,0,06/11,
207.0,153,250,1000,1000,1000,1000,1000,463,453,0,06/11,
223.0,166,259,1000,1000,1000,1000,1000,504,492,0,06/11,
174.0,129,193,806,1000,1000,1000,1000,398,402,0,06/11,
109.0,84,112,118,712,1000,1000,1000,273,266,1,06/11,
133.0,101,136,153,980,1000,1000,1000,323,338,1,06/11,
109.0,85,111,109,613,1000,1000,1000,274,266,1,06/11,
35.0,30,37,74,217,473,608,367,90,84,1,06/11,
15.0,13,14,19,41,119,193,152,44,38,1,06/11,
35.0,32,38,70,188,457,624,395,90,98,1,06/11,
25.0,21,24,23,57,212,470,428,68,60,1,06/11,
30.0,24,30,34,145,418,643,450,76,78,1,06/11,
97.0,171,172,356,523,954,1000,561,207,130,1,06/11,
90.0,70,91,77,338,1000,1000,1000,224,227,2,06/11,
110.0,86,112,97,496,1000,1000,1000,270,270,2,06/11,
122.0,95,125,110,1000,1000,1000,1000,298,472,2,06/11,
131.0,108,144,167,1000,1000,1000,1000,324,312,2,06/11,
52.0,45,53,53,177,649,1000,765,132,138,2,06/11,
135.0,104,146,169,1000,1000,1000,1000,336,341,2,06/11,
136.0,105,145,169,1000,1000,1000,1000,322,330,2,06/11,
90.0,75,79,76,105,491,1000,1000,223,233,2,06/11,
74.0,63,64,60,78,197,1000,1000,190,180,2,06/11,
95.0,80,85,81,110,547,1000,1000,236,227,2,06/11,
85.0,73,91,304,951,1000,1000,913,200,187,2,06/11,
61.0,53,65,201,617,869,998,766,144,144,2,06/11,
4.0,3,4,3,4,4,4,13,18,18,3,06/11,
8.0,14,16,17,28,32,29,37,30,32,3,06/11,
3.0,3,3,3,3,4,3,11,16,16,3,06/11,
34.0,62,62,169,523,370,224,187,92,104,0,06/12,
14.0,12,13,45,124,61,26,49,52,52,0,06/12,
22.0,21,21,65,178,84,36,77,76,72,0,06/12,
129.0,129,173,898,1000,1000,1000,781,285,294,0,06/12,
81.0,69,94,471,1000,1000,1000,500,188,196,0,06/12,
52.0,45,59,235,739,823,620,369,128,118,0,06/12,
173.0,127,195,851,1000,1000,1000,1000,395,388,0,06/12,
145.0,107,155,592,1000,1000,1000,1000,333,334,0,06/12,
156.0,117,167,668,1000,1000,1000,1000,363,366,0,06/12,
85.0,66,86,83,456,1000,1000,1000,212,221,1,06/12,
94.0,73,96,102,609,1000,1000,1000,237,229,1,06/12,
120.0,91,124,144,907,1000,1000,1000,290,300,1,06/12,
24.0,24,27,39,89,243,411,300,64,64,1,06/12,
25.0,27,31,50,118,275,417,283,66,74,1,06/12,
29.0,27,33,60,173,413,569,365,76,88,1,06/12,
41.0,34,39,38,125,493,897,576,110,107,1,06/12,
109.0,84,118,157,1000,1000,1000,890,272,276,1,06/12,
29.0,25,29,27,85,352,679,437,82,94,1,06/12,
94.0,76,98,88,403,1000,1000,1000,243,231,2,06/12,
118.0,114,136,144,603,1000,1000,1000,279,285,2,06/12,
87.0,68,88,74,312,1000,1000,1000,221,220,2,06/12,
14.0,12,13,14,24,78,241,295,44,46,2,06/12,
17.0,15,16,16,28,109,292,304,52,44,2,06/12,
33.0,26,34,54,249,562,695,429,86,92,2,06/12,
53.0,44,46,44,54,211,1000,1000,145,134,2,06/12,
53.0,45,49,47,69,284,1000,1000,146,155,2,06/12,
54.0,45,47,45,58,217,1000,1000,144,142,2,06/12,
69.0,57,74,250,843,1000,1000,706,163,156,3,06/12,
52.0,43,56,174,588,825,855,562,128,128,3,06/12,
13.0,19,19,35,82,124,158,126,36,22,3,06/12,
4.0,4,4,4,1,0,0,5,18,4,3,06/12,
3.0,2,2,3,2,3,2,9,12,10,3,06/12,
4.0,4,4,4,2,2,1,8,18,9,3,06/12,
34.0,32,33,107,298,147,66,135,112,116,0,06/13,
38.0,42,43,105,253,135,70,126,126,112,0,06/13,
30.0,30,30,64,161,79,38,97,110,106,0,06/13,
150.0,134,180,856,1000,1000,1000,899,333,343,0,06/13,
157.0,148,197,990,1000,1000,1000,992,346,361,0,06/13,
274.0,492,512,1000,1000,1000,1000,1000,452,450,0,06/13,
282.0,210,322,1000,1000,1000,1000,1000,639,646,0,06/13,
316.0,235,366,1000,1000,1000,1000,1000,703,712,0,06/13,
290.0,234,363,1000,1000,1000,1000,1000,623,619,0,06/13,
141.0,110,143,140,750,1000,1000,1000,349,346,1,06/13,
135.0,105,138,129,688,1000,1000,1000,337,339,1,06/13,
167.0,129,170,170,966,1000,1000,1000,409,398,1,06/13,
65.0,59,73,189,530,965,1000,675,161,154,1,06/13,
34.0,32,37,57,141,345,534,394,94,86,1,06/13,
44.0,47,52,67,140,373,687,542,115,110,1,06/13,
58.0,48,57,54,185,714,1000,841,154,167,1,06/13,
77.0,63,78,75,367,1000,1000,1000,200,203,1,06/13,
148.0,114,160,175,1000,1000,1000,1000,374,386,1,06/13,
132.0,115,139,135,503,1000,1000,1000,332,324,2,06/13,
148.0,123,156,143,605,1000,1000,1000,363,380,2,06/13,
157.0,124,160,137,657,1000,1000,1000,395,380,2,06/13,
28.0,33,35,46,98,208,470,488,74,72,2,06/13,
34.0,37,39,54,121,322,619,536,86,88,2,06/13,
33.0,28,30,29,56,208,593,639,90,84,2,06/13,
80.0,67,69,66,92,333,1000,1000,197,213,2,06/13,
85.0,73,77,75,102,435,1000,1000,215,213,2,06/13,
58.0,50,49,46,64,109,890,1000,148,142,2,06/13,
93.0,77,98,310,1000,1000,1000,1000,217,219,3,06/13,
33.0,27,34,86,294,460,549,418,80,82,3,06/13,
33.0,27,34,84,299,488,568,416,78,92,3,06/13,
4.0,3,4,4,3,4,3,11,20,18,3,06/13,
3.0,2,2,3,4,5,4,14,16,20,3,06/13,
1.0,1,1,2,6,6,6,15,8,22,3,06/13,
21.0,24,26,90,250,144,74,101,60,70,0,06/14,
21.0,23,24,83,232,126,65,97,62,71,0,06/14,
32.0,37,39,132,350,205,105,135,88,90,0,06/14,
139.0,155,198,938,1000,1000,1000,846,291,281,0,06/14,
61.0,49,67,283,960,1000,797,387,144,140,0,06/14,
51.0,42,56,205,701,890,748,428,122,134,0,06/14,
149.0,113,164,626,1000,1000,1000,1000,339,340,0,06/14,
169.0,132,195,785,1000,1000,1000,1000,368,369,0,06/14,
139.0,103,157,672,1000,1000,1000,1000,318,323,0,06/14,
137.0,139,164,248,996,1000,1000,1000,285,273,1,06/14,
106.0,110,129,205,856,1000,1000,1000,227,219,1,06/14,
